epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,9698.09,0.24054,3.94522,1.49508,0.81421,0.76975,0.77185,0.42792,0.32838,4.86618,1.87741,0.0006106,0.0006106,0.0006106
61,11900.4,0.23586,3.83583,1.47809,0.72909,0.72602,0.757,0.41832,0.33268,5.60025,1.94014,0.000604,0.000604,0.000604
62,13801.5,0.23524,3.81328,1.47015,0.79575,0.6964,0.72947,0.39112,0.33143,5.33191,1.88436,0.0005974,0.0005974,0.0005974
63,15802.9,0.23815,3.84001,1.48301,0.85026,0.66202,0.72333,0.40972,0.33088,5.16256,1.80438,0.0005908,0.0005908,0.0005908
64,17720.2,0.23742,3.8593,1.48355,0.73689,0.72889,0.72684,0.39761,0.33274,4.95019,1.92094,0.0005842,0.0005842,0.0005842
65,19677.5,0.23524,3.79586,1.4795,0.82297,0.71028,0.72111,0.42018,0.33878,4.93349,1.94206,0.0005776,0.0005776,0.0005776
66,22035.4,0.24067,3.93068,1.49988,0.83263,0.72619,0.78208,0.4456,0.31556,4.59602,1.87576,0.000571,0.000571,0.000571
67,24365.6,0.24033,3.97227,1.50223,0.77418,0.6841,0.69622,0.39132,0.33878,4.78584,1.91582,0.0005644,0.0005644,0.0005644
68,26718.7,0.23953,3.997,1.49092,0.81748,0.72062,0.72019,0.43367,0.31373,5.21241,1.79967,0.0005578,0.0005578,0.0005578
69,28933,0.23478,3.88357,1.48511,0.82919,0.71028,0.76436,0.46948,0.31868,4.43346,1.8032,0.0005512,0.0005512,0.0005512
70,1598.64,0.22383,3.52948,1.44042,0.85156,0.70783,0.78683,0.48298,0.31823,4.88355,1.80181,0.0005446,0.0005446,0.0005446
71,3198.2,0.22459,3.44621,1.43825,0.76736,0.76897,0.80813,0.47136,0.31258,4.66537,1.83146,0.000538,0.000538,0.000538
72,4758.1,0.22493,3.41751,1.44398,0.76265,0.79056,0.78469,0.46079,0.32326,4.71948,1.88116,0.0005314,0.0005314,0.0005314
73,6343.52,0.22562,3.45957,1.44482,0.82131,0.70479,0.79481,0.47355,0.31962,4.45621,1.89439,0.0005248,0.0005248,0.0005248
74,8058.21,0.22487,3.5455,1.43855,0.75784,0.72509,0.78057,0.47459,0.29862,5.02895,1.74473,0.0005182,0.0005182,0.0005182
75,9922.4,0.21887,3.36589,1.41618,0.78686,0.75752,0.7888,0.46961,0.30188,4.48006,1.74935,0.0005116,0.0005116,0.0005116
76,11797.6,0.22392,3.45352,1.43119,0.78987,0.72092,0.76106,0.4658,0.29635,4.86875,1.73868,0.000505,0.000505,0.000505
77,13667.9,0.22745,3.5545,1.43992,0.77388,0.77866,0.77482,0.44713,0.31981,4.85846,1.8779,0.0004984,0.0004984,0.0004984
78,29138.4,0.22504,3.501,1.43453,0.82804,0.7544,0.73711,0.43995,0.32173,4.73292,1.86611,0.0004918,0.0004918,0.0004918
79,2239.25,0.21813,3.36248,1.42033,0.81396,0.75349,0.80581,0.48338,0.30741,4.6664,1.79079,0.0004852,0.0004852,0.0004852
80,4312.28,0.21921,3.23201,1.41404,0.77032,0.78617,0.77865,0.4747,0.31451,4.56564,1.81799,0.0004786,0.0004786,0.0004786
81,6204.58,0.21458,3.1756,1.39769,0.74557,0.77963,0.76388,0.46521,0.30249,4.45907,1.83216,0.000472,0.000472,0.000472
82,8142.9,0.21634,3.20286,1.40893,0.80385,0.77553,0.79495,0.4762,0.32467,4.89458,1.94156,0.0004654,0.0004654,0.0004654
83,10129.2,0.21797,3.28041,1.40968,0.79657,0.69965,0.76638,0.47477,0.3109,4.87408,1.86476,0.0004588,0.0004588,0.0004588
84,11872.1,0.21286,3.20161,1.39421,0.78652,0.67308,0.73325,0.43558,0.33189,4.57792,1.9562,0.0004522,0.0004522,0.0004522
